owner,repository,category,stars,forks,watchers,subscribers,open_issues,size,language,topics_count,license,default_branch,contributors,releases,branches,readme_size,has_wiki,has_projects,has_issues,has_pages,archived,disabled,created_at,updated_at,pushed_at
antonbabenko,terraform-aws-devops,SmallActive,500,94,500,42,0,471,Unknown,11,No License,master,1,0,1,10364,1,1,1,0,0,0,2015-08-20 18:36:58+00:00,2026-06-30 04:45:52+00:00,2026-06-01 10:27:52+00:00
iHTCboy,iAppStore-SwiftUI,SmallActive,500,90,500,10,2,9313,Swift,2,GPL-3.0,main,2,7,1,3024,1,1,1,0,0,0,2021-12-31 03:25:13+00:00,2026-06-30 16:41:19+00:00,2026-06-14 04:07:36+00:00
zmike1993,hello-world,SmallActive,500,57,500,18,191,215432,Unknown,0,No License,master,1,0,6,4258,1,1,1,1,0,0,2019-03-17 04:20:08+00:00,2026-07-11 01:59:48+00:00,2026-02-28 08:31:42+00:00
freezy,VisualPinball.Engine,SmallActive,500,72,500,45,69,386046,C#,7,GPL-3.0,master,26,30,28,6150,1,1,1,1,0,0,2019-12-20 22:52:57+00:00,2026-07-13 20:08:19+00:00,2026-07-14 12:15:42+00:00
xibosignage,xibo-cms,SmallActive,500,352,500,49,11,229543,PHP,3,AGPL-3.0,develop,30,30,30,8050,0,0,0,0,0,0,2015-01-08 13:10:34+00:00,2026-07-14 11:51:10+00:00,2026-07-14 12:18:32+00:00
brandonstarxel,chunking_evaluation,SmallActive,500,92,500,8,13,37785,Python,0,MIT,main,2,0,3,5863,1,1,1,0,0,0,2024-06-14 21:18:25+00:00,2026-07-11 17:53:31+00:00,2025-12-13 21:34:01+00:00
multikernel,kernelscript,SmallActive,500,23,500,6,2,2964,OCaml,3,Apache-2.0,main,3,3,4,17829,1,1,1,0,0,0,2025-07-14 04:08:28+00:00,2026-07-11 15:16:07+00:00,2026-06-26 18:51:26+00:00
phenom-films,dayu_widgets,SmallActive,500,102,500,14,23,88064,Python,0,MIT,master,8,24,18,8375,1,1,1,1,0,0,2018-10-11 08:19:28+00:00,2026-07-12 14:25:00+00:00,2026-06-18 19:07:47+00:00
jonesphillip,weft,SmallActive,500,54,500,0,3,1203,TypeScript,0,Apache-2.0,main,1,0,1,10955,0,1,1,0,0,0,2026-01-06 23:05:53+00:00,2026-06-11 15:38:52+00:00,2026-02-08 20:57:21+00:00
mycrl,turn-rs,SmallActive,500,52,500,12,1,2380,Rust,5,MIT,main,9,30,2,6286,0,1,1,1,0,0,2019-05-04 12:20:21+00:00,2026-07-12 19:15:41+00:00,2026-07-12 03:24:33+00:00
giswqs,geog-312,SmallActive,500,217,500,15,5,73806,Jupyter Notebook,7,CC-BY-4.0,main,6,0,6,3847,1,1,1,1,0,0,2024-07-22 03:29:30+00:00,2026-07-08 10:36:32+00:00,2026-06-22 06:32:55+00:00
antfu,raycast-multi-translate,SmallActive,500,39,500,4,6,313,TypeScript,2,MIT,main,4,0,1,3493,0,1,1,0,0,0,2023-06-08 08:29:59+00:00,2026-07-01 04:23:46+00:00,2025-09-07 16:26:42+00:00
optimatika,ojAlgo,SmallActive,500,222,500,21,0,80025,Java,20,MIT,develop,18,0,4,3305,1,0,1,0,0,0,2013-10-06 17:20:10+00:00,2026-07-13 12:05:14+00:00,2026-07-13 12:06:05+00:00
VibingJustSpeakIt,Vibing,SmallActive,500,51,500,6,36,10708,HTML,0,No License,main,2,0,1,2123,1,1,1,1,0,0,2026-03-27 06:34:00+00:00,2026-07-13 16:46:03+00:00,2026-04-27 05:56:34+00:00
